title,description,link
Spendesk,Spendesk decreased their first-response time by 80% in six months.,https://www.intercom.com/customers/spendesk
Perimeter 81,Perimeter 81 generates 218% more leads with Intercom.,https://www.intercom.com/customers/perimeter-81
WebinarGeek,WebinarGeek reduced median first-response time to under 3 minutes.,https://www.intercom.com/customers/webinargeek
Vend,Vend increased agent productivity by 48% with conversational support.,https://www.intercom.com/customers/vend
SMARTY,SMARTY reduced their median first-response time by 99% with Intercom.,https://www.intercom.com/customers/smarty
TrueCommerce,TrueCommerce reduced inbound conversation volume by 20% with proactive and self-serve support.,https://www.intercom.com/customers/truecommerce
Livestorm,Livestorm books 233% more sales demos with Intercom.,https://www.intercom.com/customers/livestorm
Outschool,Outschool used Intercom to reduce FRT by 91% throughout rapid business growth.,https://www.intercom.com/customers/outschool
Ringostat,Ringostat converts 76% of leads generated through Intercom and keeps FRT to one minute.,https://www.intercom.com/customers/ringostat
3Commas,3Commas used Intercom to unify customer communications and create stellar experiences at scale.,https://www.intercom.com/customers/3commas
Grover,Grover reduced first-response time by 79% with bots and automation.,https://www.intercom.com/customers/grover
Smartly.io,How Smartly.io uses customer support to win enterprise customers.,https://www.intercom.com/customers/smartly-io
tado°,How tado° shut off phone support and shortened its overall first-response time by 92% with Intercom.,https://www.intercom.com/customers/tado
October,October used Intercom to reduce its median first-response time by 46%.,https://www.intercom.com/customers/october
Shine,Shine resolves customer queries 44% faster with Intercom.,https://www.intercom.com/customers/shine
AgriWebb,AgriWebb reduced support costs by 80% and retains 99% of customers with Intercom.,https://www.intercom.com/customers/agriwebb
RateMyAgent,RateMyAgent reduced median response time by 80% with Intercom.,https://www.intercom.com/customers/ratemyagent
TagPlus,TagPlus streamlines its operations and powers support at scale with Intercom.,https://www.intercom.com/customers/tagplus
GreenPal,GreenPal supports 300k customers and increased NPS by 60% with Intercom.,https://www.intercom.com/customers/greenpal
Envoy,How Envoy accelerates lead volume through Intercom.,https://www.intercom.com/customers/envoy
Housecall Pro,"Housecall Pro used Intercom’s customer messaging platform to grow their business from launch to 10,000+ customers.",https://www.intercom.com/customers/housecall
Keen,How Keen scaled a personal support experience and increased user engagement.,https://www.intercom.com/customers/keen-io
Put.io,How Put.io proactively supports customers with Intercom.,https://www.intercom.com/customers/put-io
Pantheon,Pantheon creates a unified customer experience by implementing Intercom across sales and support.,https://www.intercom.com/customers/pantheon
ThreadBeast,"How ThreadBeast drives conversions with personal, multi-channel support.",https://www.intercom.com/customers/threadbeast
Baremetrics,Baremetrics increased annual plan subscriptions by 30%.,https://www.intercom.com/customers/baremetrics
